order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,Extraction_Date,source
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,1714563448.0212574,SQL-Server
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,1714563448.0212574,SQL-Server
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,1714563448.0212574,SQL-Server
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,1714563448.0212574,SQL-Server
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,1714563448.0212574,SQL-Server
6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,1714563448.0212574,SQL-Server
7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6,1714563448.0212574,SQL-Server
8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7,1714563448.0212574,SQL-Server
9,60,4,2016-01-05,2016-01-08,2016-01-08,1,2,1714563448.0212574,SQL-Server
10,442,4,2016-01-05,2016-01-06,2016-01-06,2,6,1714563448.0212574,SQL-Server
11,1326,4,2016-01-05,2016-01-08,2016-01-07,2,7,1714563448.0212574,SQL-Server
12,91,4,2016-01-06,2016-01-08,2016-01-09,1,2,1714563448.0212574,SQL-Server
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,1714563448.0212574,SQL-Server
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,1714563448.0212574,SQL-Server
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,1714563448.0212574,SQL-Server
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,1714563448.0212574,SQL-Server
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,1714563448.0212574,SQL-Server
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,1714563448.0212574,SQL-Server
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,1714563448.0212574,SQL-Server
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,1714563448.0212574,SQL-Server
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,1714563448.0212574,SQL-Server
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,1714563448.0212574,SQL-Server
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,1714563448.0212574,SQL-Server
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,1714563448.0212574,SQL-Server
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,1714563448.0212574,SQL-Server
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,1714563448.0212574,SQL-Server
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,1714563448.0212574,SQL-Server
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,1714563448.0212574,SQL-Server
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,1714563448.0212574,SQL-Server
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,1714563448.0212574,SQL-Server
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,1714563448.0212574,SQL-Server
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,1714563448.0212574,SQL-Server
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,1714563448.0212574,SQL-Server
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,1714563448.0212574,SQL-Server
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,1714563448.0212574,SQL-Server
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,1714563448.0212574,SQL-Server
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,1714563448.0212574,SQL-Server
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,1714563448.0212574,SQL-Server
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,1714563448.0212574,SQL-Server
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,1714563448.0212574,SQL-Server
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,1714563448.0212574,SQL-Server
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,1714563448.0212574,SQL-Server
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,1714563448.0212574,SQL-Server
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,1714563448.0212574,SQL-Server
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,1714563448.0212574,SQL-Server
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,1714563448.0212574,SQL-Server
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,1714563448.0212574,SQL-Server
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,1714563448.0212574,SQL-Server
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,1714563448.0212574,SQL-Server
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,1714563448.0212574,SQL-Server
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,1714563448.0212574,SQL-Server
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,1714563448.0212574,SQL-Server
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,1714563448.0212574,SQL-Server
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,1714563448.0212574,SQL-Server
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,1714563448.0212574,SQL-Server
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,1714563448.0212574,SQL-Server
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7,1714563448.0212574,SQL-Server
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6,1714563448.0212574,SQL-Server
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7,1714563448.0212574,SQL-Server
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3,1714563448.0212574,SQL-Server
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7,1714563448.0212574,SQL-Server
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2,1714563448.0212574,SQL-Server
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7,1714563448.0212574,SQL-Server
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6,1714563448.0212574,SQL-Server
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6,1714563448.0212574,SQL-Server
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7,1714563448.0212574,SQL-Server
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8,1714563448.0212574,SQL-Server
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6,1714563448.0212574,SQL-Server
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7,1714563448.0212574,SQL-Server
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7,1714563448.0212574,SQL-Server
72,1386,4,2016-02-12,2016-02-15,2016-02-13,1,2,1714563448.0212574,SQL-Server
73,612,4,2016-02-12,2016-02-15,2016-02-14,2,7,1714563448.0212574,SQL-Server
74,264,4,2016-02-13,2016-02-15,2016-02-15,2,7,1714563448.0212574,SQL-Server
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6,1714563448.0212574,SQL-Server
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,1714563448.0212574,SQL-Server
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7,1714563448.0212574,SQL-Server
79,529,4,2016-02-17,2016-02-20,2016-02-20,1,3,1714563448.0212574,SQL-Server
80,397,4,2016-02-17,2016-02-20,2016-02-19,2,6,1714563448.0212574,SQL-Server
81,521,4,2016-02-17,2016-02-19,2016-02-18,2,6,1714563448.0212574,SQL-Server
82,1223,4,2016-02-18,2016-02-21,2016-02-20,2,6,1714563448.0212574,SQL-Server
83,393,4,2016-02-19,2016-02-20,2016-02-20,1,3,1714563448.0212574,SQL-Server
84,317,4,2016-02-20,2016-02-22,2016-02-21,2,7,1714563448.0212574,SQL-Server
85,1174,4,2016-02-20,2016-02-23,2016-02-21,2,7,1714563448.0212574,SQL-Server
86,276,4,2016-02-21,2016-02-22,2016-02-23,2,7,1714563448.0212574,SQL-Server
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6,1714563448.0212574,SQL-Server
88,1069,4,2016-02-21,2016-02-22,2016-02-23,2,6,1714563448.0212574,SQL-Server
89,668,4,2016-02-21,2016-02-24,2016-02-24,3,8,1714563448.0212574,SQL-Server
90,414,4,2016-02-23,2016-02-25,2016-02-24,2,7,1714563448.0212574,SQL-Server
91,648,4,2016-02-25,2016-02-27,2016-02-28,1,2,1714563448.0212574,SQL-Server
92,1309,4,2016-02-25,2016-02-28,2016-02-28,2,7,1714563448.0212574,SQL-Server
93,1328,4,2016-02-26,2016-02-28,2016-02-27,1,3,1714563448.0212574,SQL-Server
94,929,4,2016-02-27,2016-02-28,2016-02-29,1,2,1714563448.0212574,SQL-Server
95,218,4,2016-02-27,2016-02-29,2016-02-28,2,7,1714563448.0212574,SQL-Server
96,1094,4,2016-02-27,2016-02-29,2016-02-28,2,7,1714563448.0212574,SQL-Server
97,204,4,2016-02-28,2016-02-29,2016-03-01,2,7,1714563448.0212574,SQL-Server
98,1194,4,2016-02-28,2016-02-29,2016-02-29,2,6,1714563448.0212574,SQL-Server
99,1165,4,2016-02-29,2016-03-01,2016-03-03,3,9,1714563448.0212574,SQL-Server
100,1237,4,2016-03-01,2016-03-04,2016-03-03,2,7,1714563448.0212574,SQL-Server
101,271,4,2016-03-01,2016-03-04,2016-03-04,3,8,1714563448.0212574,SQL-Server
102,336,4,2016-03-02,2016-03-05,2016-03-03,2,7,1714563448.0212574,SQL-Server
103,991,4,2016-03-03,2016-03-06,2016-03-05,1,2,1714563448.0212574,SQL-Server
104,7,4,2016-03-03,2016-03-05,2016-03-05,2,7,1714563448.0212574,SQL-Server
105,306,4,2016-03-03,2016-03-05,2016-03-04,2,7,1714563448.0212574,SQL-Server
106,422,4,2016-03-04,2016-03-05,2016-03-05,3,9,1714563448.0212574,SQL-Server
107,633,4,2016-03-06,2016-03-09,2016-03-09,1,2,1714563448.0212574,SQL-Server
108,12,4,2016-03-06,2016-03-09,2016-03-07,2,6,1714563448.0212574,SQL-Server
109,1255,4,2016-03-06,2016-03-09,2016-03-09,2,6,1714563448.0212574,SQL-Server
110,677,4,2016-03-06,2016-03-08,2016-03-09,3,9,1714563448.0212574,SQL-Server
111,630,4,2016-03-07,2016-03-10,2016-03-10,2,6,1714563448.0212574,SQL-Server
112,469,4,2016-03-08,2016-03-11,2016-03-10,2,6,1714563448.0212574,SQL-Server
113,1078,4,2016-03-08,2016-03-11,2016-03-11,2,6,1714563448.0212574,SQL-Server
114,1431,4,2016-03-08,2016-03-10,2016-03-11,2,7,1714563448.0212574,SQL-Server
115,1369,4,2016-03-09,2016-03-11,2016-03-11,2,7,1714563448.0212574,SQL-Server
116,471,4,2016-03-10,2016-03-11,2016-03-11,2,7,1714563448.0212574,SQL-Server
117,740,4,2016-03-10,2016-03-13,2016-03-11,2,6,1714563448.0212574,SQL-Server
118,577,4,2016-03-12,2016-03-14,2016-03-13,1,2,1714563448.0212574,SQL-Server
119,925,4,2016-03-12,2016-03-14,2016-03-14,2,7,1714563448.0212574,SQL-Server
120,327,4,2016-03-14,2016-03-15,2016-03-17,2,7,1714563448.0212574,SQL-Server
121,755,4,2016-03-14,2016-03-15,2016-03-16,2,6,1714563448.0212574,SQL-Server
122,786,4,2016-03-14,2016-03-16,2016-03-15,2,6,1714563448.0212574,SQL-Server
123,766,4,2016-03-15,2016-03-18,2016-03-17,2,6,1714563448.0212574,SQL-Server
124,403,4,2016-03-16,2016-03-18,2016-03-17,1,3,1714563448.0212574,SQL-Server
125,685,4,2016-03-16,2016-03-19,2016-03-17,2,6,1714563448.0212574,SQL-Server
126,1365,4,2016-03-16,2016-03-18,2016-03-18,2,7,1714563448.0212574,SQL-Server
127,484,4,2016-03-17,2016-03-18,2016-03-19,3,8,1714563448.0212574,SQL-Server
128,86,4,2016-03-18,2016-03-20,2016-03-21,2,6,1714563448.0212574,SQL-Server
129,84,4,2016-03-19,2016-03-21,2016-03-21,2,7,1714563448.0212574,SQL-Server
130,1049,4,2016-03-19,2016-03-22,2016-03-20,2,6,1714563448.0212574,SQL-Server
131,316,4,2016-03-19,2016-03-22,2016-03-20,3,8,1714563448.0212574,SQL-Server
132,46,4,2016-03-20,2016-03-22,2016-03-23,1,3,1714563448.0212574,SQL-Server
133,409,4,2016-03-20,2016-03-22,2016-03-21,2,7,1714563448.0212574,SQL-Server
134,679,4,2016-03-20,2016-03-21,2016-03-21,2,7,1714563448.0212574,SQL-Server
135,1354,4,2016-03-21,2016-03-23,2016-03-23,2,7,1714563448.0212574,SQL-Server
136,1192,4,2016-03-21,2016-03-24,2016-03-23,3,8,1714563448.0212574,SQL-Server
137,370,4,2016-03-23,2016-03-26,2016-03-25,2,7,1714563448.0212574,SQL-Server
138,438,4,2016-03-23,2016-03-24,2016-03-25,2,7,1714563448.0212574,SQL-Server
139,710,4,2016-03-23,2016-03-24,2016-03-26,2,7,1714563448.0212574,SQL-Server
140,1264,4,2016-03-23,2016-03-26,2016-03-26,2,7,1714563448.0212574,SQL-Server
141,557,4,2016-03-25,2016-03-27,2016-03-26,2,7,1714563448.0212574,SQL-Server
142,170,4,2016-03-26,2016-03-27,2016-03-27,1,3,1714563448.0212574,SQL-Server
143,693,4,2016-03-26,2016-03-28,2016-03-28,2,7,1714563448.0212574,SQL-Server
144,1124,4,2016-03-26,2016-03-29,2016-03-29,2,7,1714563448.0212574,SQL-Server
145,366,4,2016-03-27,2016-03-29,2016-03-30,2,6,1714563448.0212574,SQL-Server
146,288,4,2016-03-28,2016-03-30,2016-03-30,1,3,1714563448.0212574,SQL-Server
147,55,4,2016-03-28,2016-03-31,2016-03-31,2,7,1714563448.0212574,SQL-Server
148,714,4,2016-03-28,2016-03-30,2016-03-30,2,6,1714563448.0212574,SQL-Server
